Transaction ID,Customer ID,Transaction Amount,Transaction Type,Location,Device Used,Transaction Time,Historical Fraud Flag,Risk Score,Fraud Label
8ace0fc6-8d17-49b8-b361-db57d12e90df,CUSTFRAUD-2235,6771.57,Online Purchase,India,Tablet,2024-02-22 19:55:56,1,0.82,1
4a29641c-7269-46a6-a2d6-b23d40b512b4,CUSTFRAUD-6721,1907.43,ATM Withdrawal,Germany,Desktop,2024-02-11 05:53:10,1,0.8,1
aeec9e3a-786a-4726-9726-58abcf1c58d6,CUSTFRAUD-8633,3225.47,POS Payment,Singapore,Desktop,2024-01-29 13:37:28,0,0.77,0
139602cf-1ef7-4bfb-bced-385924b017d1,CUSTFRAUD-3672,8077.65,Online Purchase,Japan,Unknown,2024-03-30 21:48:17,1,0.42,0
48fedfd2-39f4-4f3c-be62-10bc4f81f169,CUSTFRAUD-3766,5866.98,Wire Transfer,Singapore,Unknown,2024-01-05 10:27:12,0,0.49,0
8bcf5912-dc57-459c-80cf-66a2819081d0,CUSTFRAUD-3402,1543.53,POS Payment,USA,Mobile,2024-02-27 16:14:50,1,0.82,1
4bf71170-824b-47e4-9d2b-fee61b771941,CUSTFRAUD-4716,2529.83,POS Payment,France,Tablet,2024-02-22 15:07:40,0,0.23,0
68b7a385-0623-4235-8970-2fa4b45717ab,CUSTFRAUD-1981,9336.54,POS Payment,UAE,Desktop,2024-01-25 09:22:19,0,0.87,1
cc6e6b70-0bea-4dfb-a5b4-72a5169303ab,CUSTFRAUD-3034,5553.97,Crypto Exchange,Canada,Tablet,2024-01-15 12:54:48,0,0.19,0
fa01c286-b9f4-4dec-9a6c-b49a14927bfc,CUSTFRAUD-9768,1327.36,POS Payment,France,Mobile,2024-01-18 18:46:19,0,0.36,0
30399b14-4a92-453a-ba01-a12c5cc08262,CUSTFRAUD-1871,1731.24,POS Payment,Japan,Mobile,2024-01-25 06:46:59,1,0.65,0
0c2a3a90-cfdd-4d5c-b578-04597355e3b0,CUSTFRAUD-6204,6244.78,ATM Withdrawal,Australia,Tablet,2024-01-14 01:55:05,1,0.76,1
fd667c3d-8da6-4d6a-8dd2-62cec24712cc,CUSTFRAUD-4285,1749.76,ATM Withdrawal,Singapore,Unknown,2024-01-03 03:25:01,0,0.17,0
811f8ccb-9a5d-44ea-a7c1-0b326d682fb7,CUSTFRAUD-2282,5866.12,Online Purchase,Germany,Mobile,2024-02-14 04:24:21,1,0.68,0
dda14782-38bf-44c1-9f31-68826c64301f,CUSTFRAUD-6874,9870.37,ATM Withdrawal,UAE,Desktop,2024-01-24 14:05:55,1,0.24,0
d2e67e33-4f9c-438e-be52-29d801133b54,CUSTFRAUD-7128,6928.0,Wire Transfer,Singapore,Mobile,2024-01-07 16:46:23,1,0.29,0
